,date,id,content,retweetCount,likeCount,place,inReplyToTweetId,retweetedTweet,coordinates,hashtags,lang
272,2022-11-20 15:20:23+00:00,1594349945678708737,Imaginez Poutine il envoie une ogive nucléaire pendant le match 👀🇷🇺 🇶🇦#coupedumonde2022 #FIFA #qatarequateur #CoupeDuMonde #QatarWorldCup2022 #Qatar2022 https://t.co/Fe1TTAFI0L,0,1,,,,,"['coupedumonde2022', 'FIFA', 'qatarequateur', 'CoupeDuMonde', 'QatarWorldCup2022', 'Qatar2022']",fr
273,2022-11-20 15:19:09+00:00,1594349636395073538,"Morgan Freeman pour moi c'était un peu comme un second Nelson Mandela, je l'admirai tellement... Je suis tellement déçu de savoir où il se trouve... c'est pas la coupe du monde c'est la coupe du meurtre !! #shame #CoupeDuMonde #QatarWorldCup2022",3,36,,,,,"['shame', 'CoupeDuMonde', 'QatarWorldCup2022']",fr
274,2022-11-20 15:19:06+00:00,1594349622889095168,"Quel prince, bordel ! 
#CoupeDuMonde https://t.co/cgVZtRZBfT",24,241,,,,,['CoupeDuMonde'],es
275,2022-11-20 15:18:03+00:00,1594349360208351239,"Quand je pense à la cérémonie d’ouverture de la #CoupeDuMonde en Afrique du Sud, et je vois celle ci je pense aux parole de #fally « ils sont là bas… musika , on est trop high » to leki bango 😆#QatarWorldCup2022",0,0,,,,,"['CoupeDuMonde', 'fally', 'QatarWorldCup2022']",fr
276,2022-11-20 15:15:50+00:00,1594348802332409859,La cérémonie d’ouverture était incroyable faut l’avouer vous êtes d’accord ? #QatarWorldCup2022 #coupedumonde2022 #CoupeDuMonde https://t.co/7oAS0Vi6iu,0,4,,,,,"['QatarWorldCup2022', 'coupedumonde2022', 'CoupeDuMonde']",fr
277,2022-11-20 15:15:35+00:00,1594348740055384066,Je veux la tenue noir et qui brilles de milles feux de Jungkook svp #coupedumonde https://t.co/NXN450A4an,0,0,,,,,['coupedumonde'],fr
278,2022-11-20 15:15:17+00:00,1594348662658052096,Un repas à l’Élysée lors duquel s’est jouée en catimini l’attribution de la #CoupeDuMonde a conduit à des catastrophes en série https://t.co/KTMfOcmY3o via @FacebookWatch,0,0,,,,,['CoupeDuMonde'],fr
279,2022-11-20 15:15:06+00:00,1594348615031554051,"🗣️ "" Le foot est plus beau et plus grand que la FIFA"" @Martov 

📚 L'article en intégralité :
👉  https://t.co/oKxa5ckKci
#Infantino #Qatar #coupedumonde https://t.co/maTGodMk6T",7,19,,,,,"['Infantino', 'Qatar', 'coupedumonde']",fr
280,2022-11-20 15:14:50+00:00,1594348551189962755,"""La FIFA va fermer les yeux"" : choc, le #Qatar déjà accusé d'avoir truqué un match de #CoupeduMonde 2022. 
Pour les Qataris tout s’achète !

#FIFAWorldCup   #QatarvsEcuador #QATECU #CoupeduMonde2022 #football #QatarWorldCup2022 #Qatar2022 🇶🇦⚽️🏟

https://t.co/WtvbfNVUfr",0,2,,,,,"['Qatar', 'CoupeduMonde', 'FIFAWorldCup', 'QatarvsEcuador', 'QATECU', 'CoupeduMonde2022', 'football', 'QatarWorldCup2022', 'Qatar2022']",fr
281,2022-11-20 15:14:19+00:00,1594348421695295488,Les racistes devant la CDM ils doivent être ravis #coupedumonde2022 #CDM2022 #CoupeDuMonde #QatarWorldCup2022,0,4,,,,,"['coupedumonde2022', 'CDM2022', 'CoupeDuMonde', 'QatarWorldCup2022']",fr
282,2022-11-20 15:13:04+00:00,1594348106543468545,"Aucun rapport avec le racisme ou non, ça n’a rien à faire dans le milieu sportif ! Allez dehors 👌 #coupedumonde2022 #FIFAWorldCup #QatarWorldCup2022 #Qatar #Qatar2022 #CoupeDuMonde https://t.co/iMvENRJSpc",0,0,,,,,"['coupedumonde2022', 'FIFAWorldCup', 'QatarWorldCup2022', 'Qatar', 'Qatar2022', 'CoupeDuMonde']",fr
283,2022-11-20 15:12:57+00:00,1594348075233210368,"Souvenir #France98 
#coupedumonde2022 
#CoupeDuMondeFIFA 
#CoupeDuMonde 
#QuatarWorldCup2022 https://t.co/jdU1hKqSyn",0,1,,,,,"['France98', 'coupedumonde2022', 'CoupeDuMondeFIFA', 'CoupeDuMonde', 'QuatarWorldCup2022']",fr
284,2022-11-20 15:12:39+00:00,1594348000427790336,"Pris aussi ce système 6/9 sur la 1ère journée.
Et une pièce sur le Combiné côté à 424 lol

#TeamParieur 
#CoupeDuMonde 
#WorldcupQatar2022 https://t.co/NRfnGs8gQF",0,2,,1.5943466551926825e+18,,,"['TeamParieur', 'CoupeDuMonde', 'WorldcupQatar2022']",fr
285,2022-11-20 15:11:17+00:00,1594347654603067395,"🚨 Louis Van Gaal annonce que Memphis Depay ne jouera pas demain face au Sénégal ! ❌ 🇳🇱

#Depay #coupedumonde2022 #CoupeDuMonde #Nederland https://t.co/Yn89dvlxkT",0,1,,,,,"['Depay', 'coupedumonde2022', 'CoupeDuMonde', 'Nederland']",fr
286,2022-11-20 15:11:13+00:00,1594347641022083074,« BrAvo mon Fils... » #Qatar2022 #Qatar #coupedumonde2022 #FIFAWorldCup #CoupeDuMonde #QatarWorldCup2022 https://t.co/8lAJSeFX3W,0,0,,,,,"['Qatar2022', 'Qatar', 'coupedumonde2022', 'FIFAWorldCup', 'CoupeDuMonde', 'QatarWorldCup2022']",fr
287,2022-11-20 15:10:54+00:00,1594347560222834689,"Passer de Shakira à la Kpop, mes oreilles ont mal 😭🧏‍♂️ #coupedumonde2022 #FIFAWorldCup #FIFAWorldCup2022 #QatarWorldCup2022 #Qatar #Qatar2022 #CoupeDuMonde",0,3,,,,,"['coupedumonde2022', 'FIFAWorldCup', 'FIFAWorldCup2022', 'QatarWorldCup2022', 'Qatar', 'Qatar2022', 'CoupeDuMonde']",fr
288,2022-11-20 15:09:35+00:00,1594347226758782976,"@BFMTV Maitre Gims
 Un homophobe du groupe sexion d'assault qui sera tres bien pour un pays homophobe comme le Qatar !

100% homophobe Qatar !

#QatarWorldCup2022 
#coupedumonde2022 
#CoupeDuMonde
#FIFAWorldCup",0,1,,1.594292722491224e+18,,,"['QatarWorldCup2022', 'coupedumonde2022', 'CoupeDuMonde', 'FIFAWorldCup']",fr
289,2022-11-20 15:09:28+00:00,1594347199017762818,#coupedumonde2022 : l’équipe de France avance-t-elle sur les mêmes traces que ses échecs de 2002 et 2010 ? #didierdeschamps en passe de reproduire la catastrophe de Domenech apres un nbre incalculable d'échecs ces. 3 dernières années #CoupeDuMonde https://t.co/WJ0TIRpcj6,0,0,,,,,"['coupedumonde2022', 'didierdeschamps', 'CoupeDuMonde']",fr
290,2022-11-20 15:09:08+00:00,1594347117304217604,Mdrr trop chou le nouveau Casper #coupedumonde2022 #QatarWorldCup2022 #CDM2022 #CoupeDuMonde https://t.co/t4RLk0k1FQ,0,4,,,,,"['coupedumonde2022', 'QatarWorldCup2022', 'CDM2022', 'CoupeDuMonde']",fr
291,2022-11-20 15:09:01+00:00,1594347084890644481,"@nRenardPaname @ManuDuCac40 Plus drôle que la #CoupeDuMonde 
https://t.co/aI3wXNXbLz",4,2,,1.5943415599941386e+18,,,['CoupeDuMonde'],fr
292,2022-11-20 15:07:50+00:00,1594346789226053633,Les Kpop et Bangtan Stans dés que le presentateur a écorché le nom de Jungkook  #Coupedumonde #QatarWorldCup2022 https://t.co/eCWQwCJU5v,0,1,,,,,"['Coupedumonde', 'QatarWorldCup2022']",fr
